"Actores","Frecuencia"
"Denzel Washington|Russell Crowe|Kelly Lynch|Alanna Ubach|William Forsythe|Stephen Spinella|Louise Fletcher|William Fichtner|Costas Mandylor|Kevin J. O'Connor|Kaley Cuoco|Una Damon|Christopher Murray|Miguel N�jera|Miracle Vincent|Traci Lords|Michael Buffer|Heidi Schanz|Mara Duronslet|Karen Annarino|Cheryl Lawson|Eiko Nijo|Monica Allison|Laura Leigh Hughes|Virginia Watson|Lesa Noelle",1
"Denzel Washington|Ryan Reynolds|Vera Farmiga|Brendan Gleeson|Sam Shepard|Rub�n Blades|Nora Arnezeder|Robert Patrick|Liam Cunningham|Joel Kinnaman|Fares Fares|Jenna Dover|Stephen Rider|Daniel Fox|Tracie Thoms|Stephen Bishop|Tanit Phoenix|Sara Arrington|Kenneth Fok|Nicole Sherwin|Stephen Bishop|Tanit Phoenix|Sherry Stone|Sebastian Roch�|Trayan Milenov-Troy",1
"Denzel Washington|Vicellous Reon Shannon|Deborah Kara Unger|Liev Schreiber|John Hannah|Dan Hedaya|Debbi Morgan|Clancy Brown|David Paymer|Harris Yulin|Rod Steiger|Badja Djola|Vincent Pastore|Al Waxman|David Lansbury|Garland Whitt|Chuck Cooper|Brenda Denmark|Marcia Bennett|Beatrice Winde|Mitchell Taylor Jr.|Bill Raymond|Merwin Goldsmith|John A. MacKay|Donnique Privott|Moynan King|Gary DeWitt Marshall|John Christopher Jones|Gwendolyn Mulamba|Richard M. Davidson|George T. Odom|Tonye Patano|Fulvio Cecere|Phillip Jarrett|Rodney ""Bear"" Jackson|Judi Embden|Terry Claybon|Ben Hernandez Bray|Mike Justus|Kenneth McGregor|Frank Proctor|Peter Wylie|David Gray|Joe Matheson|Bill Lake|Robin Ward|Pippa Pearthree|Jean Daigle|Rob Evans|Scott Gibson|Ann Holloway|Bruce McFee|Conrad Bergschneider|Zoran Radusinovic|Michael Bodnar|Carson Manning|Debrah Ellen Waller|Richard Litt|Adam Large|Peter Graham|Satori Shakoor|George Masswohl|Lawrence Sacco|David Frisch|Ralph Brown|Dyron Holmes|Ryan Williams|Bruce Vavrina|Brenda Braxton|Christopher Riordan|Harry Davis",1
"Denzel Washington|Viola Davis|Stephen McKinley Henderson|Jovan Adepo|Russell Hornsby|Mykelti Williamson|Saniyya Sidney|Lesley Boone|Christopher Mele|Jason Silvis|Tra'Waan Coles|Joe Fishel",1
"Denzel Washington|Will Patton|Wood Harris|Ryan Hurst|Donald Faison|Craig Kirkwood|Ethan Suplee|Kip Pardue|Hayden Panettiere|Nicole Ari Parker|Kate Bosworth|Earl Poitier|Ryan Gosling|Burgess Jenkins|Neal Ghant|David Jefferson|Preston Wigasi Brant|John Michael Weatherly|Gregory Alan Williams|Brett Rice|Richard Fullerton|J. Don Ferguson|Krysten Leigh Jones|Afemo Omilami|Andrew Masset|Tim Ware|Tom Turbiville|Tom Nowicki|Jim Grimshaw|David Dwyer|Bo Keister|Lou Walker|Marion Guyot|Rhubarb Jones|Bob Neal|Dan Albright|Mike Pniewski|Sharon Blackwood|Paula Claire Jones|Kelly Cheston|Walker Jones|Ronald L. Conner|Courtney James Stewart|E.Y. Coley|John Wesley|B. Keith Harmon|Andy Francis|Stuart Greer|Derick Marshall|Scott Miles|Kevin Dankosky|David Chandley|Scott Slade|Ric Reitz|Steve Barnes|Rory Griffin|Ryan Kowalske|Thomas Elliott|C. Stephen Browder|Jameel Jackson|Randy D. Patman Jr.|Jemal L. Webb|Shawn Cummings|Michael Rouby|Ray Stoney|John Paul Rice|Shanda Lee Munson|David de Vries|Andrew Collins|Stephen O'Neil Martin|Matt Adams|Marcus M. Moore|Ryan Duncan|Lauren Aparicio|Nicky Buggs|Tyreese Burnett|Don Cochran|Darren W. Conrad|Doshia Darmane|Alton Glass|Jyn Hall|Teretha G. Houston|Lucinda Jenney|Tina King|Ron Marino|Tess Panzer|Robert Peterson|Xavier Rivers|Irone Singleton|Jonathan Thompson|Shayne Tingle",1
"Derek Hough|BoA|Will Yun Lee|Wesley Jonathan|Izabella Miko|Jefferson Brown|Miki Ishikawa|Rick Gonzalez|Michael Mando|Dan Lauria|Mary Ashton|Tiffany Daniels|Kolton Stewart|Rusko|Rich Ting|Tommy Chang|Jonny Caines|Simon Northwood|Jung Yun-ho",1
"Derek Jacobi|Elizabeth Hartman|Arthur Malet|Dom DeLuise|Hermione Baddeley|Shannen Doherty|Wil Wheaton|Jodi Hicks|Ian Fried|John Carradine|Peter Strauss|Paul Shenar",1
"Derek Luke|Michael Ealy|Laz Alonso|Omar Benson Miller|Pierfrancesco Favino|Valentina Cervi|Matteo Sciabordi|John Turturro|Joseph Gordon-Levitt|John Leguizamo|Kerry Washington|D. B. Sweeney|Robert John Burke|Omari Hardwick|Omero Antonutti|Sergio Albelli|Lidia Biondi|Matteo Romoli|Massimo Sarchielli|Giselda Volodi|Giulia Weber|Max Malatesta|Ralph Palka|Massimo De Santis|Livia Taruffi|Michele De Virgilio|Michael Kenneth Williams|Laila Petrone|Luigi Lo Cascio|Alexandra Maria Lara|Jan Pohl|Walton Goggins|Tory Kittles|Stephen Monroe Taylor|Andr� Holland|Christian Berkel|Waldemar Kobus|Chiara Francini|Giovanni Zigliotto|Federigo Ceci|Agnese Nano|Leonardo Borzonasca|Malcolm Goodwin|Sean Ryal|Brad Leland|Rodney ""Bear"" Jackson|Oliver Korittke|Kai Wido Meyer|Alexander Beyer|Usman Sharif|Matteo Bonetti|Leland Gantt|John Earl Jelks|Al Palagonia|Curt Lowens|John Hawkes|Douglas M. Griffin|Joe Chrest|Peter Frechette|De'Adre Aziza|Limary Agosto|Lemon Andersen|Marcia Jean Kurtz|Colman Domingo|Peter Kybart|Rebecca Naomi Jones|Michael Den Dekker|Karyl Sloan|Robinson Wendt|Kesia Elwin|Hans Schoeber|Dieter Riesle|Eugene Brell|Lars Gerhard|Nick Augusta Thompson|Matthew Carroll|Adrain Washington|Alexander Brathwaite|Booker T. Washington|Bryant Pearson|Basil Scrivens|C�dric Ido|Cerrone May|Christopher Greene|Courtney Charles|Deantre Williams|Dexter M. Pitts|Kalon Jackson|Elijah Moreland|Ezra Mabengeza|Haas Manning|Jimmie Pinckney|Jonathan Robinson|Karim French|Kwane Spinks|Lionel Cineas Jr.|Logan Coles|Parrish McLean|Randy Wilkins|Richard Ward|Ronald Wimberly|Shawn Luckey|Theron Smith|Tracy Mazyck|Yarc Lewinson|Zay Smith|Niklas Bardeli|David Bredin|Arne Burchard|Tim Forssman|Johnny Florio|Jeff Fischer|Robert Heinle|Thomas Maximilian Held|Sascha Heymans|Timo Jacobs|Florian Kaufmann|Jens Kauffmann|Siggi Kautz|Torsten Knippertz|Daniel Peter Paul Komma|Sebastian Koslowski|Matze Lehmann|Robin Alexander Michel|Andreas Pfundstein|Tobias Riefer|Axel Schumacher|Dirk Sikorski|Tom Sommerlatte|Claudius von Stolzmann|Tibor Taylor|Ren� Carsten Wedeward|Lukas Martin Weiss|Arthur Werner|Bastian Zessner|Adrian Zwicker|Hank Eulau|Steve Forrest|Stuart Whitman|Philip E Jones|Adam S. Phillips|Marco Pancrazi",1
"Derek Richardson|Eric Christian Olsen|Mimi Rogers|Luis Guzm�n|Rachel Nichols|Eugene Levy|Teal Redmann|Shia LaBeouf|Lin Shaye|Elden Henson|William Lee Scott|Michelle Krusiec|Dana Gould|Brian Posehn|Jeff Cesario|Cheri Oteri|Bob Saget|Timothy Stack|Wayne Federman|Lucas Gregory|Holly Towne|Josh Braaten|Vahe Manoukian|Carl Mazzocone|Tally Barr|Lawrence Jordan|Nancy Pimental|Julia Duffy|Kevin Centazzo|Tess Brewer|Jill Talley|Aaron Kaplan|Stacey Hill|Nathan Wright|Roger Eschbacher|Julie Costello|Shawnie Costello|Dawn Michelle King",1
"Dermot Mulroney|Hayley Orrantia|Janel Parrish|Mirelly Taylor|Emilie Modaff|Michael Naizu",1
"Detlev Buck|Cornelia Froboess|Nina Kronj�ger|Marvin Linke|Tilo Pr�ckner|J�rgen Vogel|Hanna Binke|Marla Menn|Henriette Morawe|Amber Bongard|Peter Meinhardt|Martin Butzke",1
"Dev Patel|Alicia Vikander|Joel Edgerton|Sarita Choudhury|Sean Harris|Kate Dickie|Barry Keoghan|Erin Kellyman|Ralph Ineson|Emilie Hetland|Anthony Morris|Megan Tiernan|Noelle Brown|Youssef Quinn|Aaron Edo|Margeaux Wright|Tyrone Kearns|Helena Browne|Brendan Conroy|Ethan Dillion|Chris McHallem|Atheena Frizzell|Donncha Crowley|Patrick Duffy|Janet Grene|Simone Haines|Tyrone Kearns|Tom Leavey|Ana�s Rizzo|Joe Anderson|Nita Mishra|Tara Mae|Emmett O'Brien|Sam Uppal Lynch|Adam Karim|Ruth Patel|Rose Patel|Rachel Quinn",1
"Dev Patel|Armie Hammer|Nazanin Boniadi|Tilda Cobham-Hervey|Anupam Kher|Jason Isaacs|Suhail Nayyar|Amandeep Singh|Manoj Mehra|Dinesh Kumar|Kapil Kumar Netra|Amriptal Singh|Mohammad Arafat Sarguroh|Adithi Kalkunte|Angus McLaren|Alex Pinder|Natasha Liu Bordizzo|Vipin Sharma|Gaurav Paswala|Naina Sareen|Sachin Joab|Chantal Contouri|Vitthal Kale|Nagesh Bhonsle|Carmen Duncan|Ansuya Nathan|Pawan Singh|Raunak Bhinder|Ishan Khanna|Harjeet Singh|Nitin Dhiman|Mariette Valsan|Aradhana Dhawan|Akhilesh Harsh|Devyani Mandavgane|Divya Unny|Bhidhisha Ghosh|Trishaan Sarkar|Carmel Johnson|Takila Wood|Zenia Starr|Rohan Mirchandaney|Rodney Afif|Marc Iserlis|Mona Mathews|Abhiroy Singh|Lee Perry|Jude Henshaw|Shiv Dev Singh|Rory Walker",1
"Dev Patel|Judi Dench|Richard Gere|Maggie Smith|Bill Nighy|Celia Imrie|Penelope Wilton|Ronald Pickup|Diana Hardcastle|Tina Desai|Lillete Dubey|David Strathairn|Tamsin Greig|Claire Price|Subhrajyoti Barat|Fiona Mollison|Shazad Latif|Avijit Dutt|Denzil Smith|Poppy Miller|Rajesh Tailang|Atul Tiwari|Seema Azmi|Neeraj Kadela|Vikram Singh|Siddharth Makkar|Danny Mahoney|Zachary Coffin|Jayesh V. Kardak|Ashok Pathak|Sarvesh Vyas|Lateesha Dorik|Avantika Akerkar|Shishir Sharma|Lokesh Rai|Atul Kale|Sufiyan Khan|Dinesh Pradhan|Anita Pradhan",1
"Dev Patel|Peter Capaldi|Ben Whishaw|Tilda Swinton|Gwendoline Christie|Hugh Laurie|Anthony Welsh|Aneurin Barnard|Divian Ladwa|Rosalind Eleazar|Morfydd Clark|Benedict Wong|Paul Whitehouse|Daisy May Cooper|Daniel Fearn|Sophie McShera|Nikki Amuka-Bird|Bronagh Gallagher|Ruby Bentall|Darren Boyd|Anna Maxwell Martin|Matthew Cottle|Peter Singh|Lynn Hunter|Jairaj Varsani|Ranveer Jaiswal|Rosaleen Linehan|Victor McGuire|Phaldut Sharma|Tuwaine Barrett|Aimee Kelly",1
"Dev Patel|Rooney Mara|David Wenham|Nicole Kidman|Abhishek Bharate|Divian Ladwa|Priyanka Bose|Deepti Naval|Tannishtha Chatterjee|Nawazuddin Siddiqui|Sunny Pawar|Keshav Jadhav|Benjamin Rigby|Riddhi Sen|Rita Boy|Arka Das|Emilie Cocquerel|Sachin Joab|Menik Gooneratne|Anna Samson|Eamon Farren|Tegan Crowley|Belinda Misevski|Lucy Moir",1
"Dev Patel|Saurabh Shukla|Anil Kapoor|Rajendranath Zutshi|Jeneva Talwar|Freida Pinto|Irrfan Khan|Azharuddin Mohammed Ismail|Ayush Mahesh Khedekar|Jira Banjara|Sheikh Wali|Mahesh Manjrekar|Sanchita Choudhary|Himanshu Tyagi|Sharib Hashmi|Virendra Chatterjee|Feroze Khan|Sunil Kumar Agrawal|Virender Kumar|Devesh Rawal|Rubina Ali|Ankur Vikal|Tiger|Chirag Parmar|Nazneen Shaikh|Farzana Ansari|Anupam Shyam|Salim Chaus|Harvinder Kaur|Narendra Singh Bhati|Tanay Chheda|Ashutosh Lobo Gajiwala|Satya Mudgal|Janet de Vigne|William Relton|David Gilliam|Mia Drake|Kinder Singh|Christine Matovich Singh|Thomas Lehmkuhl|Siddesh Patil|Najma Shaikh|Saeeda Shaikh|Alka Satpute|Tabassum Khan|Tanvi Ganesh Lonkar|Sitaram Panchal|Nigel Caesar|Ajit Pandey|Kedar Thapar|Amit Leonard|Rajesh Kumar|Sagar Ghopalkar|Pradeep Solanki|Abdul Hamid Shaikh|Dheeraj Waghela|Shruti Seth|Arfi Lamba|Taira Colah|Varun Bagri|Ankur Tewari|Anjum Sharma|Madhur Mittal|Sarfaraz Khan|Syed Fazal Hussain|Umar Khan|Imran Hasnee|Homai Billimoria|Udayan Baijal|Sandeep Kaul|Rufee Ahmed|Rhea Lawyer|Deepali Dalvi|Anisha Nagar|Farrah Shaikh|Mamta Sharma|Neha M. Khatarawalla|Tanya Singh|Anand Tiwari|Faezeh Jalali|Meghana Jhalani|Rupali Mehra|Anju Singh|Saurabh Agarwal|Mark Boucher|Andre Nel|Yuvraj Singh|Sachin Tendulkar|Amitabh Bachchan",1
"Devin France|Shay Walker|Tommie Lynn Milazzo|Gage Naquin|Yashua Mack|Gavin Naquin|Ahmad Cage|Krzysztof Meyn|Romyri Ross|Stephanie Lynn Wilson|Lowell Landes|Matt Owens|Kevin Pugh|Cleopatra King Welch",1
"Devon Graye|Wes Chatham|C.J. Thomason|Tammin Sursok|Ben Easter|Michael Cornelison|Aaron Harpold|Candice Rose",1
"Devon Sawa|Ali Larter|Kerr Smith|Kristen Cloke|Seann William Scott|Chad Donella|Amanda Detmer|Tony Todd|Daniel Roebuck|Roger Guenveur Smith|Brendan Fehr|Forbes Angus|Lisa Marie Caruk|Christine Chatelain|Robert Wisden|Barbara Tyson|Fred Keating|P. Lynn Johnson|Larry Gilman|Guy Fauchon|Randy Stone|Mark Holden|Marrett Green|John Hainsworth|Pete Atherton|Nicole Robert|Kristina Matisic|Troy Yorke|Alessandro Juliani",1
"Devon Sawa|Michael Jai White|Bruce Campbell|Ivana Baquero|Ryan Lee|Louie Kurtzman|Stephen O'Neil Martin|Leah Procito|Mark Steger|Kayla Caulfield|Andria Blackman|Lonnie Farmer|Marilyn Busch|Adrian M. Mompoint|Christopher Mikael|Christian Cibotti|Stephen Amethyst Peck|Christopher Mikael|Derek Mellor",1
"Devon Sawa|Seth Green|Jessica Alba|Vivica A. Fox|Elden Henson|Christopher Hart|Jack Noseworthy|Katie Wright|Sean Whalen|Nicholas Sadler|Fred Willard|Connie Ray|Steve Van Wormer|Kelly Monaco|Timothy Stack|Joey Slotnick|Sabrina Lu|Kyle Gass|Mindy Sterling|Donna W. Scott|Randy Oglesby|Molly Maslin|Carl Gabriel Yorke|Dexter Holland|Tom DeLonge",1
"Devon Werkheiser|John DiMaggio|Jim Belushi|Billy West|Dan Castellaneta|Debi Derryberry|Scott Menville|Brett DelBuono|Pat Fraley|Kevin Michael Richardson|Bob Saget|Jason Harris|Matthew Underwood|Candi Milo|Nika Futterman|Christy Carlson Romano|Kendre Berry|Maurice LaMarche|Kevin McDonald|Terri Douglas|John Kassir|Phyllis Diller|Daryl Dragon|Toni Tennille|Danny Cooksey|Fred Tatasciore",1
"Dhanush|James Cosmo|Joju George|Kalaiyarasan|Aishwarya Lekshmi|Sharath Ravi|Deepak Paramesh|Sanchana Natarajan|Vadivukarasi|Muthukumar|Ramachandran Durairaj|Baba Baskar|Soundara Raja|Ashwanth Ashokkumar|Roman Fiori|Decca Heggie|Atul Sharma|Manoj Anand|Lee Nicholas Harris|Alexander Garcia|Natasha Jenssen|Richie Lawrie|Sonia Goswami|Vaunisha Kapoor|Rina Yadav|Frina Mehta|Kinjal",1
"Diana Amft|Laura Roge|Christiane Paul|Marta Martin|Stipe Erceg|Michael Kessler|Richy M�ller",1
"Diana Angelson|Jason London|Quinton Aaron|Sarah Bazler|Kurtis Anton",1
"Diana Bovio|Ricardo Polanco|Paco Rueda|Hern�n Mendoza|Mariana Gaj�|C�sar Rodr�guez|Christian Ramos|Karina Gidi|Norma Ang�lica",1
"Diana Glenn|Maeve Dermody|Andy Rodoreda|Ben Oxenbould|Fiona Press|Paulina Nemcov�",1
"Diana Kaarina|Adrian Petriw|Brittney Irvin|Cassandra Morris|Kate Higgins|Brittney Wilson|Alexandra Carter|Nicole Oliver|Barbara Tyson|Candus Churchill|Nathaniel DeVeaux|Michael Dobson|Laura Bailey|Silvio Pollio",1
"Diana Kaarina|Adrian Petriw|Tabitha St. Germain|Patricia Drake|Alexa Devine|Shannon Chan-Kent|Maryke Hendrikse|Kandyse McClure|Brittney Irvin|Chiara Zanni|Kelly Metzger|Andrea Libman|Brandy Kopp|Charles Fathy|Annick Obonsawin|Nicole Bouma|Nicole Oliver|Vincent Tong|Cathy Weseluck|Peter New|Peter Kelamis|Michael Dobson|France Perras",1
"Diana Kaarina|Jennifer Waris|Nevada Brandt|Lauren Lavoie|Danielle Bessler|Ashlyn Drummond|Lucia Vecchio|Maryke Hendrikse|Allie Feder|Aidan Drummond|Alistair Abell|Patricia Drake|Chiara Zanni|Rachel Harrison",1
"Diana Kaarina|Morwenna Banks|Nicole Oliver|Brittney Wilson|Ali Liebert|Shannon Chan-Kent|Madeleine Peters|Ellen Kennedy|Derek Waters|Bethany Brown|Kelly Metzger|Kazumi Evans|Anna Cummer|Miranda Ram-Nolte|Lee Tockar|Cathy Weseluck|Vincent Tong|Brian Drummond|Tabitha St. Germain|Rachel Franco",1
"Diana Silvers|Kristine Froseth|Eva Lomby|Jacqueline Bisset|Solomon Golding|Daniel Camargo|Caroline Goodall|Vincent D'Onofrio|Nassim Lyes|Roger Barclay|Osiel Gouneo|Stav Strashko|Alice Dardenne",1
"Diane Keaton|Brendan Gleeson|James Norton|Lesley Manville|Jason Watkins|Simon Callow|Alistair Petrie|Phil Davis|Hugh Skinner|Adeel Akhtar|Rosalind Ayres|Deborah Findlay|William Smith|Brian Protheroe|Peter Singh|Jo Wheatley",1
"Diane Keaton|Jacki Weaver|Pam Grier|Charlie Tahan|Rhea Perlman|Alisha Boe|Bruce McGill|Celia Weston|Phyllis Somerville|Dorothy  Steel|Patricia French|Carol Sutton|Alexandra Ficken|Ginny MacColl|David Maldonado|Sharon Blackwood|Karen Beyer|Jessica Roth|Afemo Omilami|Frank Hoyt Taylor",1
"Diane Keaton|Jane Fonda|Candice Bergen|Mary Steenburgen|Craig T. Nelson|Andy Garc�a|Don Johnson|Richard Dreyfuss|Alicia Silverstone|Katie Aselton|Wallace Shawn|Tommy Dewey|Ed Begley Jr.|Mircea Monroe|Christopher Allen|Lili Bord�n|Sabina Friedman-Seitz|Cole Gleason|Michael Gmur|Chet Grissom|Adam Huber|Caylie Rae Kalmbach|Ravi Kapoor|Tom G. McMahon|Marisa Chen Moller|Jonathan Ohye|Matt Riedy|John Shartzer|Matthew Smiley|Joey Stromberg|James Adam Tucker|Brad Lee Wind|Amanda Martin|Pierce Minor|Leo Moctezuma|Joy Yao|Michael Soulema|Prathibha R. Shetty|Raghuram Shetty|Jamon Holmes|Alison Faulk",1
"Diane Keaton|Queen Latifah|Katie Holmes|Ted Danson|Roger Cross|Stephen Root|J. C. MacKenzie|Christopher McDonald|Finesse Mitchell",1
"Diane Kruger|Benno F�rmann|Guillaume Canet|Gary Lewis|Dany Boon|Daniel Br�hl|Alex Ferns|Steven Robertson|Frank Witter|Bernard Le Coq|Ian Richardson|Lucas Belvaux|Thomas Schmauser|Natalie Dessay|Rolando Villaz�n|Joachim Bi�meier|Robin Laing|Michel Serrault|Suzanne Flon|Calum Anthony Beaton|Otto Beckmann|Philippe Beautier|Steffen Bielig|Nicholas Biggam|David Bruce|Christian Carion|France Corbet|Mickey Dedaj|Steven Duffy|Tom Duncan|Roy Entwistle|Markus Friedmann|Christopher Fulford|Michael Grimm|Jannis Hensel|Mathias Herrmann|Jan Hutter|Joe Johnson|Fraser Johnston|Gary Lamont|Griogair Lawrie|Gerry Lynch|Ivan MacDonald|Jordan McCurrach|Neil McNulty|Tony Matthews|Florian Mescam|Emun Mohammadi|David Mullen|Michael Pascher|Ian Petrie|Andy Ramsay|Marc Robert|Peter R�hring|Allan Sawers|Louis Friedemann Thiele|Johannes Richard Voelkel|Gilbert von Sohlern|Mark Wood|Alexander W�st",1
"Diane Lane|Arnaud Viard|Alec Baldwin|Elise Tielrooy|C�dric Monnet|Linda Gegusch|�lodie Navarre|Davia Nelson|Eleanor Lambert|Aurore Cl�ment",1
"Diane Lane|Elizabeth Banks|Dakota Fanning|Danielle Macdonald|Nate Parker|Common|Colin Donnell|Bill Sage|Ren�e Elise Goldsberry|Brynne Norquist|Eva Grace Kellner|Clare Foley|Jack Gore|Skylar Gaertner",1
"Diane Lane|John Malkovich|Scott Glenn|Dylan Walsh|Fred Dalton Thompson|Margo Martindale|Nelsan Ellis|James Cromwell|Otto Thorwarth|Michael Harding|Richard Fullerton|Tim Ware|Nestor Serrano|Keith Austin|Kevin Connolly|Eric Lange|Drew Roy|Carissa Capobianco|AJ Michalka|Sean Michael Cunningham|Jacob Rhodes|Dylan Baker|Graham McTavish|Ken Strunk|Wynn Reichert|Audrey P. Scott|Joe Chrest",1
"Diane Lane|Kevin Costner|Kayli Carter|Lesley Manville|Will Brittain|Jeffrey Donovan|Booboo Stewart|Ryan Bruce|Otto Hornung|Bram Hornung|Connor Mackay|Adam Stafford|Greg Lawson|Bradley Stryker|William Hochman|John Treleaven|Heather Lea MacCallum|Ryan Northcott|Ravonna Dow|Kira Bradley|Aidan Moreno|Judith Buchan|Marilyn Potts|Vanessa Holmes|Tayden Marks|Bryn Roy|Finn Lee-Epp|Caillou Pettis",1
"Diane Lane|Richard Gere|Christopher Meloni|Viola Davis|Scott Glenn|James Franco|Becky Ann Baker|Ato Essandoh|Linda Molloy|Pablo Schreiber|Mae Whitman|Charlie Tahan|Carolyn McCormick|Ted Manson",1
"Diane Lane|Sandra Oh|Lindsay Duncan|Raoul Bova|Vincent Riotta|Mario Monicelli|Roberto Nobile|Anita Zagaria|Evelina Gori|Kate Walsh|Giulia Steigerwalt|Pawel Szajda|Valentine Pelka|Sa�a Vulicevic|Massimo Sarchielli|Claudia Gerini|Geoffrey Rivas|Sean Kaplan|Nuccio Siano|David Sutcliffe|Laura Pestellini|Emiliano Novelli|Marit Nissen|Ralph Palka|Kristoffer Ryan Winters|Jeffery Jones|Vittorio Pecchillo|Don McManus|Elden Henson|Jack Kehler",1
"Dick Van Dyke|Sally Ann Howes|Lionel Jeffries|Gert Fr�be|Anna Quayle|Benny Hill|James Robertson Justice|Robert Helpmann|Barbara Windsor|Davy Kaye|Alexander Dor�|Bernard Spear|Stanley Unwin|Peter Arne|Heather Ripley|Adrian Hall|Desmond Llewelyn|Victor Maddern|Arthur Mullard|Ross Parker|Gerald Campion|Felix Felton|Monti DeLyle|Totti Truman Taylor|Larry Taylor|Max Bacon|Max Wall|John Heawood|Michael Darbyshire|Kenneth Waller|Gerald Taylor|Eddie Davis|Richard Wattis|Phil Collins",1
"Diedrich Bader|Field Cate|Kendall Cross|Mike Dopud|Jason Earles|Bill Fagerbakke|Pat Finn|Josh Flitter|Chris Gauthier|Skyler Gisondo|Nolan Gould|C. Ernst Harth|Ali Hillis|Henry Hodges|Quinn Lord|Liliana Mumy|Lochlyn Munro|Amy Sedaris|Kevin Weisman|Wayne Wilderson",1
"Diedrich Bader|Laura Bailey|Dante Basco|Corey Burton|Grey DeLisle|Peter Jessop|Fred Tatasciore|Jack De Sena|Tom Gibis|Erica Luttrell|Liam O'Brien|Kevin Michael Richardson|Jason Spisak|Travis Willingham",1
"Diego Boneta|Alexandra Daddario|Travis Fimmel|Justin Chatwin|Wade Allain-Marcus|Emmanuelle Chriqui|Nicola Correia Damude|John Ralston|Michelle Nolden|Stuart Hughes|John Tench|Neven Pajkic|Ren�e Willett|Okiki Kendall|Peter Schoelier|Lily Gao|Phoebe Miu|Leo Choy",1
"Diego Cremonesi|Alexia Moyano|Gast�n Cocchiarale|Jorge Takashima|Luis Longhi|Denisse Van der Ploeg|Juli�n Marcove|Irene Goldszer",1
"Diego Klattenhoff|Charlotte Sullivan|Brett Donahue|Bradley Sawatzky|Nazariy Demkowicz|Andrea del Campo|Kristen Sawatzky|Darren Felbel|Shannon Guile|Rick Skene|Terry Ray|Joe Cobden|Alicia Johnston|Garth Merkeley|Trevor Kristjanson|Dennis Nicomede|Bruce Dinsmore|Cory Wojcik|Sean Skene|Darren Ross|Robert Borges|Andrea Houssin|Mel Marginet|Julianne Jain|Elizabeth Neale|BJ Verot",1
"Diego Luna|Romola Garai|Sela Ward|John Slattery|Jonathan Jackson|January Jones|Mika Boorem|Ren� Lavan|M�a|Polly Cole|Chris Engen|Tommy Kavelin|Wilmer Cordero|Charlie Rodriguez|Donato Poveda|Marisol Padilla S�nchez|Shawn Kane|Richard E. Lange|David Rittenhouse|Heather Headley|Debbie Casteneda|Luis Gonzaga|Ricardo �lvarez|Cesar Detres|Yessenia Benavides|Patrick Swayze|JoAnn Fregalette Jansen|Modesto Lacen|Alia Maria Alvarez|Ang�lica Arag�n|Diego Alvarez|Mary Portser|Lawrence Duffy|Jerry D. Medina|�ngel ""Cucco"" Pe�a|Guillermo de Cun|Freddi de Arc�|Yvonne Caro Caro|Matt Birman|Ashley L. Anderson|Luis Salgado|Miranda Garrison|Allen Walls|Oskar Rodriguez",1
"Diego Maradona|Manu Chao|Emir Kusturica",1
"Diego Maradona|Pel�|Dalma Maradona|Daniel Arcucci|Alberto Bigon|Gonzalo Bonadeo|Corrado Ferlaino|Ciro Ferrara|John Foot|Giannina Maradona|Diego Armando Maradona Junior|Maria Rosa Maradona|Giovanni Marino|Simone Di Meo|Gennaro Montuori|Fernando Signorini|Christiana Sinagra|Vincenzo Siniscalchi|Claudia Villafa�e",1
"Diego Peretti|Maribel Verd�|Guadalupe Manent|Horacio Fontova|Mart�n Piroyansky|Marina Bellati|Guillermo Arengo|Pablo Rago|Jorgelina Aruzzi",1
"Dieter Laser|Ashley C. Williams|Ashlynn Yennie|Akihiro Kitamura|Andreas Leupold|Peter Blankenstein|Rosemary Annabella",1
"Dieter Laser|Bree Olson|Eric Roberts|Laurence R. Harvey|Robert LaSardo|Tom 'Tiny' Lister Jr.|Jay Tavare|Clayton Rohner|Tom Six|Peter Blankenstein|Bill Hutchens|Hamzah Saman|Chris Clanton",1
"Dilan Gwyn|Linus Wahlgren|Henrik Norl�n|Niklas Jarneheim|Janna Granstr�m|Karin Holmberg|Sovi Ryd�n|Troy James",1
"Diogo Morgado|Maria de Medeiros|Etienne Chicot|Paulo Gorgulho|Marat Descartes|Daniela Galli|Mel Lisboa|Deto Montenegro|Phil Miler|Will Roberts|Nill Marcondes|Thaila Ayala|Marcelo Galv�o|Tha�s Cabral|Ma�ra de Aviz",1
"Dirk Bogarde|Charlotte Rampling|Philippe Leroy|Gabriele Ferzetti|Giuseppe Addobbati|Isa Miranda|Nino Bignamini|Marino Mas�|Amadeo Amodio|Piero Vida|Geoffrey Copleston|Manfred Freyberger|Ugo Cardea|Nora Ricci|Piero Mazzinghi|Kai-Siegfried Seefeld",1
